Pt,Rate_wRIS_n1,Rate_wRIS_n2,Rate_wRIS_f,Rate_woRIS_n1,Rate_woRIS_n2,Rate_woRIS_f
-28.544303797468352,0.3060645963925816,0.6992522403248587,3.402131427858807e-05,0.25505385804315694,0.24396188005246108,5.806537899726296e-07
-27.72151898734177,0.3513849416278701,0.7599818960655813,4.1117400770781334e-05,0.29282081960015865,0.27561066091565295,7.017714112604744e-07
-26.89873417721519,0.40104658729599396,0.8208160744608849,4.969347903040667e-05,0.33420553283665655,0.30966369453242076,8.481527282487188e-07
-26.075949367088608,0.4549215902155329,0.8811549477421738,6.005817977569859e-05,0.3791013784781441,0.346005955323538,1.0250674335718246e-06
-25.253164556962023,0.5127669950886279,0.9404331028835826,7.258447434493153e-05,0.4273058937679265,0.3844751661678385,1.2388844057725984e-06
-24.430379746835442,0.5742253348666123,0.9981362405998747,8.772307873641294e-05,0.4785211894354976,0.4248637156705151,1.497300981534132e-06
-23.60759493670886,0.6388318727641011,1.053813913233631,0.00010601864590086559,0.5323599847106845,0.4669223236540649,1.8096200489801108e-06
-22.784810126582276,0.706028315071661,1.1070880109583392,0.00012812932435146826,0.5883570346748903,0.5103653636480927,2.1870849358398453e-06
-21.962025316455694,0.775182066987682,1.1576570715599384,0.00015485038011117148,0.6459851767987155,0.5548776439229534,2.6432841461355617e-06
-21.139240506329113,0.8456095667306824,1.205296779135149,0.0001871427220380091,0.704674776048637,0.6001223435382514,3.1946405126090183e-06
-20.31645569620253,0.9166018923140665,1.2498572179434226,0.00022616734233637435,0.7638350638794035,0.6457497138667994,3.861002369411844e-06
-19.493670886075947,0.9874507270820732,1.2912575603220455,0.0002733268900744059,0.8228757761930389,0.6914061045208414,4.666358020154892e-06
-18.670886075949365,1.0574728875370085,1.3294789028515381,0.0003303158422048071,0.8812275932052589,0.7367428642232642,5.639699211668253e-06
-17.848101265822784,1.1260319167832127,1.3645559390220725,0.0003991810313590322,0.9383601339899679,0.7814247013992575,6.816064683302197e-06
-17.0253164556962,1.192555663437411,1.396568087219869,0.0004823946410579195,0.993796605576281,0.8251371573864439,8.237801337161623e-06
-16.202531645569618,1.2565492275709702,1.425630596475634,0.000582942196544956,1.0471245912359093,0.8675929337841808,9.956088398853463e-06
-15.379746835443036,1.317603098694402,1.4518860429955234,0.0007044285737974824,1.0980028321362594,0.9085369107392457,1.2032779390903998e-05
-14.556962025316455,1.3753966893946574,1.4754965188757656,0.0008512056317782299,1.146164172035041,0.9477497837719108,1.4542628160299681e-05
-13.73417721518987,1.4296977553810895,1.496636708670113,0.0010285257553404822,1.191415073980242,0.9850503260137937,1.757597899566361e-05
-12.911392405063289,1.480358380172512,1.515487955468707,0.001242726389570577,1.2336322742101133,1.0202963471060167,2.1242017529789338e-05
-12.088607594936704,1.5273082963393094,1.53223333981023,0.0015014515600480912,1.2727572165158567,1.0533844686389802,2.5672699243470588e-05
-11.265822784810126,1.570546329885774,1.5470537342766788,0.0018139174128223238,1.3087889225556144,1.08424886928159,3.1027496680149164e-05
-10.443037974683541,1.6101307089800372,1.560124754434687,0.0021912299708613634,1.3417759157931926,1.1128591715235918,3.749913580903753e-05
-9.620253164556956,1.646168892276494,1.5716145016274325,0.002646764576230923,1.371807745099098,1.1392176475713416,4.532052737069678e-05
-8.797468354430379,1.6788074630037892,1.5816819823558312,0.003196617836100763,1.3990065631578659,1.1633559165567233,5.477314174778231e-05
-7.974683544303794,1.70822251690912,1.5904760891610683,0.0038601442536855563,1.4235191164234136,1.1853312920550583,6.61971274168443e-05
-7.151898734177216,1.7346108553700847,1.5981350353957686,0.004660590997723155,1.4455094060477787,1.2052229218323085,8.000353514353449e-05
-6.329113924050631,1.758182186410081,1.6047861478034857,0.005625845280833551,1.4651521887292682,1.223127844320417,9.668908492320437e-05
-5.506329113924046,1.7791524403050443,1.6105459339355355,0.00678930932911409,1.4826274063860392,1.2391570708397888,0.00011685400279612544
-4.6835443037974684,1.7977382255835357,1.6155203545265266,0.008190917571621513,1.4981155661565069,1.2534317896814537,0.00014122356312162165
-3.8607594936708836,1.8141523870646623,1.6198052432124368,0.00987830895384905,1.5117940387636173,1.2660797771592092,0.00017067410228546116
-3.0379746835442987,1.828600580852748,1.6234868271207763,0.011908163502436309,1.5238342043422013,1.2772320903813292,0.00020626442639988583
-2.215189873417721,1.8412787516350901,1.6266423118318876,0.014347705556499403,1.5343993501849786,1.2870201054782024,0.0002492737233414717
-1.392405063291136,1.8523713837317042,1.629340502940934,0.01727636534641251,1.5436432132816076,1.2955729522633783,0.0003012473142985748
-0.5696202531645511,1.862050396397958,1.6316424437859582,0.020787574588873325,1.5517090597351904,1.3030153809964875,0.0003640518486236665
