Pt,Total_Rate_wRIS,Total_Rate_woRIS,Spectral_Efficiency_wRIS,Spectral_Efficiency_woRIS,Energy_Efficiency_wRIS,Energy_Efficiency_woRIS
6.012658227848107,3.633047312002937,2.9242551415285214,3.633047312002937,2.9242551415285214,454.96211600283993,366.20093069707997
6.835443037974684,3.6522007401635204,2.928579573692292,3.6522007401635204,2.928579573692292,378.42545405603215,303.44691701259194
7.658227848101269,3.6734727927367956,2.932382349936622,3.6734727927367956,2.932382349936622,314.9372617477382,251.40147206545748
8.481012658227854,3.6972064938340865,2.935762365212417,3.6972064938340865,2.935762365212417,262.2662736259755,208.25221881972402
9.303797468354432,3.723727048353306,2.9388105713645123,3.723727048353306,2.9388105713645123,218.55869904624674,172.48917734311965
10.126582278481017,3.75333021794779,2.941611725141275,3.75333021794779,2.941611725141275,182.27560642999006,142.85555225536876
10.949367088607602,3.7862690183515126,2.9442461675050833,3.7862690183515126,2.9442461675050833,152.14047340103247,118.30617517199691
11.77215189873418,3.822739497751766,2.9467916398531155,3.822739497751766,2.9467916398531155,127.09530811111918,97.97251202355457
12.594936708860764,3.862866615818598,2.9493251457037286,3.862866615818598,2.9493251457037286,106.26397212968826,81.13327128641595
13.417721518987342,3.90669142939264,2.951924867313764,3.90669142939264,2.951924867313764,88.9215372811021,67.18976962576785
14.240506329113927,3.954160860764465,2.954672145238431,3.954160860764465,2.954672145238431,74.4686883458362,55.645323216654646
15.063291139240512,4.005121247354113,2.957653524262763,4.005121247354113,2.957653524262763,62.410341425442255,46.088034510651916
15.88607594936709,4.059316637514791,2.9609628603314153,4.059316637514791,2.9609628603314153,52.3377849220651,38.176434898935284
16.708860759493675,4.1163924219561725,2.9647034688105363,4.1163924219561725,2.9647034688105363,43.913767521708934,31.62752370394294
17.53164556962026,4.175904415348358,2.968990273336665,4.175904415348358,2.968990273336665,36.860056507443936,26.206813748659886
18.354430379746837,4.237332989214913,2.973951885523564,4.237332989214913,2.973951885523564,30.947071660887534,21.720054183039665
19.177215189873422,4.300101375498248,2.97973250827178,4.300101375498248,2.97973250827178,25.985266761989497,18.006353186927516
20.0,4.363596876416412,2.9864935096823335,4.363596876416412,2.9864935096823335,21.817984382082056,14.932467548411667
